STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
72223013894,2024-01-01T14:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"310,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0133,5","+0100,5","10235,5"
72223013894,2024-01-01T15:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"310,1,N,0031,1","22000,1,9,N","016000,1,9,9","+0133,1","+0100,1","10235,1"
72223013894,2024-01-01T15:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"320,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0161,5","+0100,5","10233,5"
72223013894,2024-01-01T16:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"290,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0178,5","+0111,5","10231,5"
72223013894,2024-01-01T17:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"280,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0189,5","+0106,5","10224,5"
72223013894,2024-01-01T18:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"280,1,N,0046,1","22000,1,9,N","016000,1,9,9","+0189,1","+0106,1","10224,1"
72223013894,2024-01-01T18:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"300,5,N,0036,5","00914,5,M,N","016093,5,N,5","+0178,5","+0094,5","10219,5"
72223013894,2024-01-01T19:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"320,1,N,0041,1","00914,1,9,N","016093,1,9,9","+0172,1","+0083,1","10219,1"
72223013894,2024-01-01T20:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"320,5,N,0051,5","22000,5,9,N","016093,5,N,5","+0167,5","+0061,5","10221,5"
72223013894,2024-01-01T21:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"320,1,N,0051,1","22000,1,9,N","016000,1,9,9","+0167,1","+0061,1","10221,1"
72223013894,2024-01-01T21:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"320,5,N,0062,5","22000,5,9,N","016093,5,N,5","+0161,5","+0050,5","10226,5"
72223013894,2024-01-01T22:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"320,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0133,5","+0039,5","10233,5"
72223013894,2024-01-01T23:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"330,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0111,5","+0033,5","10242,5"
72223013894,2024-01-02T00:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"330,1,N,0041,1","99999,9,9,N","016000,1,9,9","+0111,1","+0033,1","10242,1"
72223013894,2024-01-02T00:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"330,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0100,5","+0022,5","10249,5"
72223013894,2024-01-02T01:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"350,1,N,0036,1","22000,1,9,N","016093,1,9,9","+0089,1","+0011,1","10254,1"
72223013894,2024-01-02T02:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"360,1,N,0062,1","22000,1,9,N","016093,1,9,9","+0083,1","-0006,1","10258,1"
72223013894,2024-01-02T03:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"360,1,N,0062,1","99999,9,9,N","016000,1,9,9","+0083,1","-0006,1","10258,1"
72223013894,2024-01-02T03:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0051,5","22000,5,9,N","016093,5,N,5","+0067,5","-0017,5","10263,5"
72223013894,2024-01-02T04:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0056,5","-0017,5","10263,5"
72223013894,2024-01-02T05:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0051,5","22000,5,9,N","016093,5,N,5","+0044,5","-0022,5","10259,5"
72223013894,2024-01-02T05:59:00,6,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",SOD  ,KMOB ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9"
72223013894,2024-01-02T06:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"360,1,N,0051,1","99999,9,9,N","016000,1,9,9","+0044,1","-0022,1","10259,1"
72223013894,2024-01-02T06:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"010,5,N,0062,5","22000,5,9,N","016093,5,N,5","+0044,5","-0022,5","10255,5"
72223013894,2024-01-02T07:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"010,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0028,5","-0022,5","10256,5"
72223013894,2024-01-02T08:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"010,5,N,0067,5","22000,5,9,N","016093,5,N,5","+0028,5","-0028,5","10258,5"
72223013894,2024-01-02T09:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"010,1,N,0067,1","99999,9,9,N","016000,1,9,9","+0028,1","-0028,1","10258,1"
72223013894,2024-01-02T09:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"010,5,N,0046,5","22000,5,9,N","016093,5,N,5","+0022,5","-0028,5","10261,5"
72223013894,2024-01-02T10:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"020,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0011,5","-0028,5","10262,5"
72223013894,2024-01-02T11:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"020,5,N,0031,5","22000,5,9,N","011265,5,N,5","+0006,5","-0033,5","10269,5"
72223013894,2024-01-02T12:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"020,1,N,0031,1","22000,1,9,N","011000,1,9,9","+0006,1","-0033,1","10269,1"
72223013894,2024-01-02T12:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"030,5,N,0026,5","22000,5,9,N","011265,5,N,5","+0000,5","-0033,5","10270,5"
72223013894,2024-01-02T13:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"020,1,N,0046,1","22000,5,9,N","016093,1,9,9","+0017,1","-0028,1","10274,1"
72223013894,2024-01-02T14:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"030,5,N,0036,5","22000,5,9,N","016093,5,N,5","+0050,5","-0022,5","10276,5"
72223013894,2024-01-02T15:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"030,1,N,0036,1","22000,1,9,N","016000,1,9,9","+0050,1","-0022,1","10276,1"
72223013894,2024-01-02T15:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"040,1,N,0041,1","22000,5,9,N","016093,1,9,9","+0072,1","-0022,1","10272,1"
72223013894,2024-01-02T16:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"040,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0094,5","-0017,5","10267,5"
72223013894,2024-01-02T17:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"050,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0106,5","-0017,5","10252,5"
72223013894,2024-01-02T18:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"050,1,N,0026,1","22000,1,9,N","016000,1,9,9","+0106,1","-0017,1","10252,1"
72223013894,2024-01-02T18:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0133,5","-0017,5","10242,5"
72223013894,2024-01-02T19:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0139,5","-0011,5","10233,5"
72223013894,2024-01-02T20:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"030,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0139,5","-0017,5","10231,5"
72223013894,2024-01-02T21:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"030,1,N,0021,1","22000,1,9,N","016000,1,9,9","+0139,1","-0017,1","10231,1"
72223013894,2024-01-02T21:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"040,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0133,5","-0006,5","10227,5"
72223013894,2024-01-02T22:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"080,5,N,0021,5","06096,5,M,N","016093,5,N,5","+0106,5","+0000,5","10227,5"
72223013894,2024-01-02T23:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0072,5","+0011,5","10232,5"
72223013894,2024-01-03T00:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","016000,1,9,9","+0072,1","+0011,1","10232,1"
72223013894,2024-01-03T00:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0056,5","+0011,5","10230,5"
72223013894,2024-01-03T01:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"040,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0056,5","-0006,5","10225,5"
72223013894,2024-01-03T02:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0022,5","-0006,5","10225,5"
72223013894,2024-01-03T03:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"999,9,C,0000,1","22000,1,9,N","016000,1,9,9","+0022,1","-0006,1","10225,1"
72223013894,2024-01-03T03:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0039,5","-0006,5","10225,5"
72223013894,2024-01-03T04:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0039,5","+0000,5","10222,5"
72223013894,2024-01-03T05:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"040,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0056,5","+0006,5","10202,5"
72223013894,2024-01-03T05:59:00,6,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",SOD  ,KMOB ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9"
72223013894,2024-01-03T06:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"040,1,N,0041,1","99999,9,9,N","016000,1,9,9","+0056,1","+0006,1","10202,1"
72223013894,2024-01-03T06:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0056,5","+0000,5","10210,5"
72223013894,2024-01-03T07:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"070,5,N,0031,5","02896,5,M,N","016093,5,N,5","+0067,5","+0006,5","10200,5"
72223013894,2024-01-03T08:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"090,5,N,0041,5","02743,5,M,N","016093,5,N,5","+0072,5","+0028,5","10199,5"
72223013894,2024-01-03T09:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"090,1,N,0041,1","99999,9,9,N","016000,1,9,9","+0072,1","+0028,1","10199,1"
72223013894,2024-01-03T09:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"040,5,N,0026,5","02438,5,M,N","011265,5,N,5","+0067,5","+0039,5","10188,5"
72223013894,2024-01-03T10:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0036,5","01524,5,M,N","009656,5,N,5","+0067,5","+0044,5","10201,5"
72223013894,2024-01-03T11:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"110,5,N,0021,5","01524,5,M,N","009656,5,N,5","+0067,5","+0050,5","10200,5"
72223013894,2024-01-03T12:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"110,1,N,0021,1","99999,9,9,N","009000,1,9,9","+0067,1","+0050,1","10200,1"
72223013894,2024-01-03T12:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"100,5,N,0051,5","01524,5,M,N","006437,5,N,5","+0072,5","+0056,5","10195,5"
72223013894,2024-01-03T13:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"140,5,N,0026,5","01829,5,M,N","004828,5,N,5","+0072,5","+0056,5","10201,5"
72223013894,2024-01-03T14:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"330,5,N,0026,5","01676,5,M,N","008047,5,N,5","+0083,5","+0067,5","10211,5"
72223013894,2024-01-03T15:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"330,1,N,0026,1","99999,9,9,N","008000,1,9,9","+0083,1","+0067,1","10211,1"
72223013894,2024-01-03T15:35:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"340,5,N,0036,5","00122,5,M,N","003219,5,N,5","+0083,5","+0067,5","99999,9"
72223013894,2024-01-03T15:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0031,5","00122,5,M,N","003219,5,N,5","+0078,5","+0067,5","10205,5"
72223013894,2024-01-03T16:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"040,5,N,0026,5","00091,5,M,N","003219,5,N,5","+0083,5","+0067,5","10197,5"
72223013894,2024-01-03T17:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"080,5,N,0057,5","00122,5,M,N","003219,5,N,5","+0089,5","+0072,5","10157,6"
72223013894,2024-01-03T18:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"080,1,N,0057,1","99999,9,9,N","003200,1,9,9","+0089,1","+0072,1","10157,1"
72223013894,2024-01-03T18:25:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"100,5,N,0051,5","00152,5,M,N","004828,5,N,5","+0094,5","+0083,5","99999,9"
72223013894,2024-01-03T18:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"350,5,N,0036,5","00213,5,M,N","008047,5,N,5","+0106,5","+0083,5","10165,5"
72223013894,2024-01-03T19:45:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"340,5,N,0046,5","00335,5,M,N","011265,5,N,5","+0106,5","+0078,5","99999,9"
72223013894,2024-01-03T19:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"350,5,N,0051,5","00335,5,M,N","011265,5,N,5","+0106,5","+0072,5","10169,5"
72223013894,2024-01-03T20:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0062,5","00335,5,M,N","011265,5,N,5","+0094,5","+0072,5","10168,5"
72223013894,2024-01-03T20:58:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"360,5,N,0062,5","00213,5,M,N","016093,5,N,5","+0094,5","+0072,5","99999,9"
72223013894,2024-01-03T21:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"360,1,N,0062,1","99999,9,9,N","011000,1,9,9","+0094,1","+0072,1","10168,1"
72223013894,2024-01-03T21:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0072,5","00213,5,M,N","011265,5,N,5","+0100,5","+0072,5","10173,5"
72223013894,2024-01-03T22:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0062,5","00244,5,M,N","011265,5,N,5","+0094,5","+0067,5","10184,5"
72223013894,2024-01-03T23:38:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"360,5,N,0057,5","00335,5,M,N","011265,5,N,5","+0089,5","+0061,5","99999,9"
72223013894,2024-01-03T23:46:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"360,5,N,0057,5","01006,5,M,N","011265,5,N,5","+0089,5","+0061,5","99999,9"
72223013894,2024-01-03T23:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0051,5","01006,5,M,N","011265,5,N,5","+0089,5","+0056,5","10192,5"
72223013894,2024-01-04T00:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"360,1,N,0051,1","99999,9,9,N","011000,1,9,9","+0089,1","+0056,1","10192,1"
72223013894,2024-01-04T00:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"360,5,N,0041,5","01158,5,M,N","011265,5,N,5","+0083,5","+0056,5","10194,5"
72223013894,2024-01-04T01:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"030,5,N,0041,5","01219,5,M,N","011265,5,N,5","+0072,5","+0044,5","10191,5"
72223013894,2024-01-04T02:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"350,5,N,0015,5","22000,5,9,N","011265,5,N,5","+0061,5","+0033,5","10200,5"
72223013894,2024-01-04T03:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"350,1,N,0015,1","22000,1,9,N","011000,1,9,9","+0061,1","+0033,1","10200,1"
72223013894,2024-01-04T03:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"350,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0044,5","+0028,5","10203,5"
72223013894,2024-01-04T04:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"330,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0044,5","+0028,5","10204,5"
72223013894,2024-01-04T05:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"320,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0033,5","+0022,5","10206,5"
