STATION,DATE_TIME,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,DATE,EVENT
72323003856,2024-02-28T13:46:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"210,5,N,0082,5","00914,5,M,N","016093,5,N,5","+0211,5","+0167,5","99999,9",02/28/2024,
72323003856,2024-02-28T13:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"210,5,N,0098,5","01097,5,M,N","016093,5,N,5","+0211,5","+0172,5","10083,5",02/28/2024,
72323003856,2024-02-28T14:42:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"220,5,N,0082,5","00853,5,M,N","016093,5,N,5","+0217,5","+0172,5","99999,9",02/28/2024,
72323003856,2024-02-28T14:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"220,5,N,0082,5","00853,5,M,N","016093,5,N,5","+0217,5","+0172,5","10090,5",02/28/2024,
72323003856,2024-02-28T15:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"220,1,N,0082,1","99999,9,9,N","016000,1,9,9","+0217,1","+0172,1","10090,1",02/28/2024,
72323003856,2024-02-28T15:27:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"220,5,N,0108,5","01463,5,M,N","016093,5,N,5","+0217,5","+0172,5","99999,9",02/28/2024,
72323003856,2024-02-28T15:47:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"280,5,N,0098,5","01097,6,M,N","001609,5,N,5","+0180,5","+0170,5","99999,9",02/28/2024,
72323003856,2024-02-28T15:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"270,5,N,0088,5","01219,5,M,N","008047,5,N,5","+0172,5","+0172,5","10109,5",02/28/2024,
72323003856,2024-02-28T16:00:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"290,5,N,0067,5","00518,5,M,N","011265,5,N,5","+0172,5","+0172,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:10:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"310,5,N,0098,5","00305,5,M,N","003219,5,N,5","+0167,5","+0167,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:23:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"300,5,N,0057,5","00671,5,M,N","003219,5,N,5","+0156,5","+0156,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:30:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"310,5,N,0062,5","03353,5,M,N","003219,5,N,5","+0150,5","+0150,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:35:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"290,5,N,0072,5","00274,5,M,N","003219,5,N,5","+0150,5","+0150,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:47:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"310,5,N,0088,5","00274,5,M,N","016093,5,N,5","+0140,5","+0130,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:51:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"320,5,N,0088,5","00671,5,M,N","016093,5,N,5","+0140,5","+0120,5","99999,9",02/28/2024,
72323003856,2024-02-28T16:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"320,5,N,0077,5","00671,5,M,N","016093,5,N,5","+0139,5","+0111,5","10141,5",02/28/2024,
72323003856,2024-02-28T17:12:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"320,5,N,0077,5","01250,5,M,N","016093,5,N,5","+0128,5","+0100,5","99999,9",02/28/2024,
72323003856,2024-02-28T17:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"320,5,N,0051,5","01189,5,M,N","016093,5,N,5","+0111,5","+0078,5","10161,5",02/28/2024,
72323003856,2024-02-28T18:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"320,1,N,0051,1","99999,9,9,N","016000,1,9,9","+0111,1","+0078,1","10161,1",02/28/2024,
72323003856,2024-02-28T18:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"340,5,N,0062,5","01676,5,M,N","016093,5,N,5","+0111,5","+0072,5","10178,5",02/28/2024,
72323003856,2024-02-28T19:23:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"330,5,N,0088,5","00823,5,M,N","016093,5,N,5","+0100,5","+0050,5","99999,9",02/28/2024,
72323003856,2024-02-28T19:40:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"330,5,N,0082,5","02134,5,M,N","016093,5,N,5","+0100,5","+0039,5","99999,9",02/28/2024,
72323003856,2024-02-28T19:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"340,5,N,0077,5","02134,5,M,N","016093,5,N,5","+0100,5","+0039,5","10202,5",02/28/2024,
72323003856,2024-02-28T20:53:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"360,5,N,0082,5","02591,5,M,N","016093,5,N,5","+0100,5","+0028,5","10217,5",02/28/2024,
72323003856,2024-02-28T21:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"350,5,N,0062,5","04572,5,M,N","016093,5,N,5","+0100,5","+0006,5","10236,5",02/28/2024,
72323003856,2024-02-28T22:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"360,5,N,0062,5","04877,5,M,N","016093,5,N,5","+0094,5","-0011,5","10248,5",02/28/2024,
72323003856,2024-02-28T23:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"350,5,N,0026,5","05791,5,M,N","016093,5,N,5","+0089,5","-0011,5","10261,5",02/28/2024,
72323003856,2024-03-15T00:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"180,1,N,0036,1","99999,9,9,N","016000,1,9,9","+0250,1","+0150,1","10154,1",03/15/2024,
72323003856,2024-03-15T00:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"160,5,N,0041,5","07620,5,M,N","016093,5,N,5","+0217,5","+0150,5","10149,5",03/15/2024,
72323003856,2024-03-15T01:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"160,5,N,0041,5","01676,5,M,N","016093,5,N,5","+0233,5","+0150,5","10148,5",03/15/2024,
72323003856,2024-03-15T02:51:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"190,5,N,0057,5","01676,5,M,N","016093,5,N,5","+0230,5","+0150,5","99999,9",03/15/2024,
72323003856,2024-03-15T02:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0062,5","01676,5,M,N","016093,5,N,5","+0233,5","+0150,5","10152,5",03/15/2024,
72323003856,2024-03-15T03:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"190,1,N,0062,1","99999,9,9,N","016000,1,9,9","+0233,1","+0150,1","10152,1",03/15/2024,
72323003856,2024-03-15T03:51:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"180,5,N,0031,5","02743,5,M,N","016093,5,N,5","+0220,5","+0170,5","99999,9",03/15/2024,
72323003856,2024-03-15T03:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"170,5,N,0031,5","02743,5,M,N","016093,5,N,5","+0217,5","+0172,5","10153,5",03/15/2024,
72323003856,2024-03-15T04:29:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"220,5,N,0036,5","01829,5,M,N","016093,5,N,5","+0217,5","+0178,5","99999,9",03/15/2024,
72323003856,2024-03-15T04:51:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"330,5,N,0031,5","00884,5,M,N","012875,5,N,5","+0200,5","+0190,5","99999,9",03/15/2024,
72323003856,2024-03-15T04:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"340,5,N,0036,5","00884,5,M,N","012875,5,N,5","+0194,5","+0194,5","10148,5",03/15/2024,
72323003856,2024-03-15T05:22:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"200,5,N,0026,5","00792,5,M,N","016093,5,N,5","+0206,5","+0194,5","99999,9",03/15/2024,
72323003856,2024-03-15T05:44:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"200,5,N,0036,5","01981,5,M,N","016093,5,N,5","+0200,5","+0183,5","99999,9",03/15/2024,
72323003856,2024-03-15T05:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0036,5","01981,5,M,N","016093,5,N,5","+0211,5","+0189,5","10143,5",03/15/2024,
72323003856,2024-03-15T05:59:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",SOD  ,KHSV ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",03/15/2024,
72323003856,2024-03-15T06:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"200,1,N,0036,1","99999,9,9,N","016000,1,9,9","+0211,1","+0189,1","10143,1",03/15/2024,
72323003856,2024-03-15T06:29:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"180,5,N,0041,5","00671,5,M,N","016093,5,N,5","+0211,5","+0194,5","99999,9",03/15/2024,
72323003856,2024-03-15T06:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0041,5","00640,5,M,N","016093,5,N,5","+0211,5","+0194,5","10139,5",03/15/2024,
72323003856,2024-03-15T07:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"210,5,N,0057,5","00579,5,M,N","016093,5,N,5","+0217,5","+0200,5","10133,5",03/15/2024,
72323003856,2024-03-15T08:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0062,5","00579,5,M,N","016093,5,N,5","+0217,5","+0194,5","10127,5",03/15/2024,
72323003856,2024-03-15T09:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"200,1,N,0062,1","99999,9,9,N","016000,1,9,9","+0217,1","+0194,1","10127,1",03/15/2024,
72323003856,2024-03-15T09:48:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"200,5,N,0062,5","00640,5,M,N","016093,5,N,5","+0220,5","+0200,5","99999,9",03/15/2024,
72323003856,2024-03-15T09:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0067,5","00640,5,M,N","016093,5,N,5","+0217,5","+0200,5","10118,5",03/15/2024,
72323003856,2024-03-15T10:27:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"200,5,N,0057,5","00671,5,M,N","009656,5,N,5","+0217,5","+0200,5","99999,9",03/15/2024,
72323003856,2024-03-15T10:36:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"020,5,N,0098,5","00732,5,M,N","002816,5,N,5","+0178,5","+0178,5","99999,9",03/15/2024,
72323003856,2024-03-15T10:50:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"360,5,N,0072,5","00610,5,M,N","002012,5,N,5","+0170,5","+9999,9","99999,9",03/15/2024,
72323003856,2024-03-15T10:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"360,5,N,0072,5","00792,5,M,N","003219,5,N,5","+0170,A","+0170,A","10141,5",03/15/2024,
72323003856,2024-03-15T11:06:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"340,5,N,0077,5","00366,5,M,N","004828,5,N,5","+0172,5","+0172,5","99999,9",03/15/2024,
72323003856,2024-03-15T11:11:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"340,5,N,0067,5","00305,5,M,N","004828,5,N,5","+0172,5","+0172,5","99999,9",03/15/2024,
72323003856,2024-03-15T11:21:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"350,5,N,0062,5","00274,5,M,N","006437,5,N,5","+0172,5","+0172,5","99999,9",03/15/2024,
72323003856,2024-03-15T11:37:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"010,5,N,0067,5","01189,5,M,N","006437,5,N,5","+0172,5","+0167,5","99999,9",03/15/2024,
72323003856,2024-03-15T11:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"030,5,N,0062,5","03048,5,M,N","011265,5,N,5","+0167,5","+0167,5","10154,5",03/15/2024,
72323003856,2024-03-15T12:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"030,1,N,0062,1","99999,9,9,N","011000,1,9,9","+0167,1","+0167,1","10154,1",03/15/2024,
72323003856,2024-03-15T12:21:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"010,5,N,0021,5","02896,5,M,N","011265,5,N,5","+0167,5","+0167,5","99999,9",03/15/2024,
72323003856,2024-03-15T12:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"060,5,N,0026,5","03048,5,M,N","011265,5,N,5","+0167,5","+0167,5","10158,5",03/15/2024,
72323003856,2024-03-15T13:51:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"150,5,N,0067,5","03353,5,M,N","012875,5,N,5","+0170,5","+0170,5","99999,9",03/15/2024,
72323003856,2024-03-15T13:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"140,5,N,0062,5","03353,5,M,N","012875,5,N,5","+0167,5","+0167,5","10162,5",03/15/2024,
72323003856,2024-03-15T14:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0072,5","02743,5,M,N","009656,5,N,5","+0167,5","+0167,5","10170,5",03/15/2024,
72323003856,2024-03-15T15:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"200,1,N,0072,1","99999,9,9,N","009000,1,9,9","+0167,1","+0167,1","10170,1",03/15/2024,
72323003856,2024-03-15T15:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"220,5,N,0031,5","03048,5,M,N","016093,5,N,5","+0178,5","+0178,5","10168,5",03/15/2024,
72323003856,2024-03-15T16:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"260,5,N,0036,5","03048,5,M,N","016093,5,N,5","+0189,5","+0172,5","10162,5",03/15/2024,
72323003856,2024-03-15T17:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0062,5","03048,5,M,N","016093,5,N,5","+0194,5","+0172,5","10138,5",03/15/2024,
72323003856,2024-03-15T18:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"190,1,N,0062,1","99999,9,9,N","016000,1,9,9","+0194,1","+0172,1","10138,1",03/15/2024,
72323003856,2024-03-15T18:51:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"320,5,N,0057,5","00549,5,M,N","016093,5,N,5","+0190,5","+0170,5","99999,9",03/15/2024,
72323003856,2024-03-15T18:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"320,5,N,0067,5","00549,5,M,N","016093,5,N,5","+0194,5","+0172,5","10148,5",03/15/2024,
72323003856,2024-03-15T19:37:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"330,5,N,0051,5","01219,5,M,N","016093,5,N,5","+0194,5","+0167,5","99999,9",03/15/2024,
72323003856,2024-03-15T19:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"310,5,N,0041,5","01158,5,M,N","016093,5,N,5","+0194,5","+0156,5","10141,5",03/15/2024,
72323003856,2024-03-15T20:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"280,5,N,0036,5","04572,5,M,N","016093,5,N,5","+0194,5","+0156,5","10141,5",03/15/2024,
72323003856,2024-03-15T21:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"280,1,N,0036,1","99999,9,9,N","016000,1,9,9","+0194,1","+0156,1","10141,1",03/15/2024,
72323003856,2024-03-15T21:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"250,5,N,0041,5","01097,5,M,N","016093,5,N,5","+0189,5","+0161,5","10146,5",03/15/2024,
72323003856,2024-03-15T22:30:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"240,5,N,0026,5","00823,5,M,N","016093,5,N,5","+0189,5","+0161,5","99999,9",03/15/2024,
72323003856,2024-03-15T22:51:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"260,5,N,0021,5","00914,5,M,N","016093,5,N,5","+0190,5","+0160,5","99999,9",03/15/2024,
72323003856,2024-03-15T22:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"250,5,N,0015,5","00914,5,M,N","016093,5,N,5","+0189,5","+0161,5","10144,5",03/15/2024,
72323003856,2024-03-15T23:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"300,5,N,0031,5","00945,5,M,N","004828,5,N,5","+0183,5","+0161,5","10155,5",03/15/2024,
72323003856,2024-05-08T00:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0041,5","01829,5,M,N","016093,5,N,5","+0239,5","+0222,5","10078,5",05/08/2024,
72323003856,2024-05-08T01:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"180,5,N,0021,5","22000,5,9,N","016093,5,N,5","+0233,5","+0217,5","10083,5",05/08/2024,
72323003856,2024-05-08T02:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"160,5,N,0021,5","22000,5,9,N","014484,5,N,5","+0228,5","+0217,5","10087,5",05/08/2024,
72323003856,2024-05-08T03:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"160,1,N,0021,1","99999,9,9,N","014000,1,9,9","+0228,1","+0217,1","10087,1",05/08/2024,
72323003856,2024-05-08T03:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"180,5,N,0021,5","22000,5,9,N","012875,5,N,5","+0222,5","+0217,5","10088,5",05/08/2024,
72323003856,2024-05-08T04:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0228,5","+0217,5","10085,5",05/08/2024,
